prize,winner,date,gender,description
Otto Warburg Medal,Stefan Jentsch,2017-01-01T00:00:00Z,male,$null$
Otto Warburg Medal,Rudolf Jaenisch,2014-01-01T00:00:00Z,male,$null$
International Prize for Biology,Setsuro Ebashi,1999-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
NAS Award in Molecular Biology,Günter Blobel,1978-01-01T00:00:00Z,male,award
Academy Award of the Hungarian Academy of Sciences,Csaba Csuzdi,2011-01-01T00:00:00Z,male,award
International Prize for Biology,Rita R. Colwell,2017-01-01T00:00:00Z,female,annual award for outstanding contribution to the advancement of research in fundamental biology
NAS Award in Molecular Biology,Matthew Meselson,1963-01-01T00:00:00Z,male,award
Lomonosov Gold Medal,Alexander Ivanovich Oparin,1979-01-01T00:00:00Z,male,Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences
Rosalind Franklin Award,Sunetra Gupta,2009-01-01T00:00:00Z,female,annual British science award of Royal Society for female scientists
International Prize for Biology,Ernst Mayr,1994-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
Academy Award of the Hungarian Academy of Sciences,Eva Kondorosi,1985-01-01T00:00:00Z,female,award
Dr H.P. Heineken Prize for Biochemistry and Biophysics,Werner E. Reichardt,1985-01-01T00:00:00Z,male,$null$
Lomonosov Gold Medal,James D. Watson,1994-01-01T00:00:00Z,male,Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences
Philip Morris Research Prize,Diethard Tautz,1995-01-01T00:00:00Z,male,$null$
International Prize for Biology,John Gurdon,1987-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
Philip Morris Research Prize,Peter Schuster,1995-01-01T00:00:00Z,male,$null$
International Prize for Biology,Masakazu Konishi,1990-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
NAS Award in Molecular Biology,Robert G. Roeder,1986-01-01T00:00:00Z,male,award
Liebig Medal,Wilhelm Normann,1922-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Robert Weinberg,1997-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Thomas A. Steitz,2006-01-01T00:00:00Z,male,award
Lomonosov Gold Medal,Howard Florey,1964-01-01T00:00:00Z,male,Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences
Philip Morris Research Prize,Thomas Carell,2006-01-01T00:00:00Z,male,$null$
Otto Bayer Prize,Detlef Weigel,2010-01-01T00:00:00Z,male,award
NAS Award in Molecular Biology,Elizabeth Blackburn,1990-01-01T00:00:00Z,female,award
NAS Award in Molecular Biology,Craig Mello,2003-01-01T00:00:00Z,male,award
Otto Warburg Medal,Max Perutz,1993-01-01T00:00:00Z,male,$null$
NAS Award in Molecular Biology,Joan A. Steitz,1982-01-01T00:00:00Z,female,award
Dr H.P. Heineken Prize for Biochemistry and Biophysics,Michael Berridge,1994-01-01T00:00:00Z,male,$null$
NAS Award in Molecular Biology,Gerald Fink,1981-01-01T00:00:00Z,male,award
Jessie Stevenson Kovalenko Medal,Janet Rowley,2010-01-01T00:00:00Z,female,award
Otto Warburg Medal,Günter Blobel,1983-01-01T00:00:00Z,male,$null$
Philip Morris Research Prize,Hanns Hatt,2005-01-01T00:00:00Z,male,$null$
Keio Medical Science Prize,Barry Marshall,2002-01-01T00:00:00Z,male,award
Otto Bayer Prize,Thomas Carell,2008-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Seiji Ogawa,2017-01-01T00:00:00Z,male,award
Otto Bayer Prize,Christiane Nüsslein-Volhard,1992-01-01T00:00:00Z,female,award
Keio Medical Science Prize,Judah Folkman,1998-01-01T00:00:00Z,male,award
Lomonosov Gold Medal,Martin Chalfie,2018-01-01T00:00:00Z,male,Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences
Keio Medical Science Prize,Yusuke Nakamura,2000-01-01T00:00:00Z,male,award
Lautenschläger Research Prize,Matthias Hentze,2007-01-01T00:00:00Z,male,$null$
MacArthur Fellows Program,Sharon R. Long,1992-01-01T00:00:00Z,female,prizes awarded annually by the John D. and Catherine T. MacArthur Foundation
International Prize for Biology,Eric James Denton,1989-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
Otto Bayer Prize,Herbert Jäckle,1992-01-01T00:00:00Z,male,award
Ernst Hellmut Vits Award,Bert Sakmann,1990-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Masatoshi Takeichi,2001-01-01T00:00:00Z,male,award
Keio Medical Science Prize,Shimon Sakaguchi,2008-01-01T00:00:00Z,male,award
Otto Warburg Medal,Shosaku Numa,1987-01-01T00:00:00Z,male,$null$
Jessie Stevenson Kovalenko Medal,Irving Weissman,2004-01-01T00:00:00Z,male,award
Otto Warburg Medal,Walter J. Gehring,1996-01-01T00:00:00Z,male,$null$
Dr H.P. Heineken Prize for Biochemistry and Biophysics,Andrew Fire,2004-01-01T00:00:00Z,male,$null$
Otto Warburg Medal,Hans Kornberg,1973-01-01T00:00:00Z,male,$null$
Otto Warburg Medal,Peter Walter,2011-01-01T00:00:00Z,male,$null$
NAS Award in Molecular Biology,Robert Weinberg,1984-01-01T00:00:00Z,male,award
Lomonosov Gold Medal,Dorothy Hodgkin,1986-01-01T00:00:00Z,female,Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences
NAS Award in Molecular Biology,Andrew Fire,2003-01-01T00:00:00Z,male,award
International Prize for Biology,Winslow Russell Briggs,2009-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
NAS Award in Molecular Biology,Patrick O. Brown,2000-01-01T00:00:00Z,male,award
The Shaw Prize in Life Science and Medicine,Jules Hoffmann,2011-01-01T00:00:00Z,male,$null$
Keio Medical Science Prize,Ronald M. Evans,2003-01-01T00:00:00Z,male,award
International Prize for Biology,Motoo Kimura,1988-01-01T00:00:00Z,male,annual award for outstanding contribution to the advancement of research in fundamental biology
City of Vienna award for medicine,Christine Mannhalter,2016-01-01T00:00:00Z,female,$null$
NAS Award in Molecular Biology,Jack Szostak,1994-01-01T00:00:00Z,male,award
Otto Warburg Medal,Axel Ullrich,2005-01-01T00:00:00Z,male,$null$
Academy Award of the Hungarian Academy of Sciences,Béla Flerkó,1963-01-01T00:00:00Z,male,award
Otto Warburg Medal,Randy Schekman,2013-01-01T00:00:00Z,male,$null$
Lemelson–MIT Prize,William P. Murphy Jr.,2003-01-01T00:00:00Z,male,award
Lomonosov Gold Medal,Sidney Altman,2016-01-01T00:00:00Z,male,Medal awarded for achievements in natural sciences and humanities by Russian Academy of Sciences
CNRS bronze medal,Michel Delseny,1978-01-01T00:00:00Z,male,$null$
L'Oréal-UNESCO Award For Women in Science,Elizabeth Blackburn,2008-01-01T00:00:00Z,female,scientific award
AAAS Fellow,Nancy Ruddle,2014-01-01T00:00:00Z,female,award and fellowship
Daniel Giraud Elliot Medal,D'Arcy Wentworth Thompson,1942-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
CNRS Gold medal,Piotr Słonimski,1985-01-01T00:00:00Z,male,$null$
Schmiedeberg Badge,Wilhelm Feldberg,1968-01-01T00:00:00Z,male,$null$
CNRS silver medal,Isabelle Olivieri,2007-01-01T00:00:00Z,female,$null$
Research Communication Award,Eske Willerslev,2011-01-01T00:00:00Z,male,$null$
Linnean Medal,Ferdinand Cohn,1895-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Rolex Awards for Enterprise,Romulus Whitaker,2008-01-01T00:00:00Z,male,scientific award
Carl-Ludwig Honorary Medal,Walter Rudolf Hess,1938-01-01T00:00:00Z,male,$null$
Prestwich Medal,"John Lubbock, 1st Baron Avebury",1903-01-01T00:00:00Z,male,medal of the Geological Society of London established in the will of Joseph Prestwich
Princess of Asturias Award for Technical and Scientific Research,José María Bermúdez de Castro y Risueño,1997-01-01T00:00:00Z,male,$null$
CNRS Gold medal,Jules Hoffmann,2011-01-01T00:00:00Z,male,$null$
Paleontological Society Medal,Derek Briggs,2015-01-01T00:00:00Z,male,since 1963
Heinz Award,Anne H. Ehrlich,1995-01-01T00:00:00Z,female,$null$
AAAS Fellow,Carla Caceres,2017-01-01T00:00:00Z,female,award and fellowship
John Scott Medal,Georges J. F. Köhler,1984-01-01T00:00:00Z,male,award for medicine
CNRS bronze medal,Patrice Dunoyer,2011-01-01T00:00:00Z,male,$null$
Prestwich Medal,Mary Douglas Leakey,1969-01-01T00:00:00Z,female,medal of the Geological Society of London established in the will of Joseph Prestwich
L'Oréal-UNESCO Award For Women in Science,Anne Dejean-Assémat,2010-01-01T00:00:00Z,female,scientific award
CNRS bronze medal,Irène Buvat,2002-01-01T00:00:00Z,female,$null$
CNRS Gold medal,Pierre Joliot,1982-01-01T00:00:00Z,male,$null$
Daniel Giraud Elliot Medal,Sewall Wright,1945-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Frink Medal,Julian Huxley,1973-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
CNRS Gold medal,Pol Bouin,1961-01-01T00:00:00Z,male,$null$
Helmholtz Medal,Arnold Graffi,1984-01-01T00:00:00Z,male,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
Vannevar Bush Award,Rita R. Colwell,2017-01-01T00:00:00Z,female,American science award
L'Oréal-UNESCO Award For Women in Science,Kayo Inaba,2014-01-01T00:00:00Z,female,scientific award
Selman A. Waksman Award in Microbiology,R. John Collier,1999-01-01T00:00:00Z,male,$null$
CNRS Gold medal,Éric Karsenti,2015-01-01T00:00:00Z,male,$null$
CNRS bronze medal,Marie Manceau,2019-01-01T00:00:00Z,female,$null$
Frink Medal,Arthur Cain,1988-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
Frink Medal,Eric James Denton,1987-01-01T00:00:00Z,male,medal awarded by the Zoological Society of London
CNRS silver medal,Michel Raymond,1998-01-01T00:00:00Z,male,$null$
Hervorragender Wissenschaftler des Volkes,Paula Hertwig,1959-01-01T00:00:00Z,female,title and award of the German Democratic Republic
CNRS Gold medal,Nicole Marthe Le Douarin,1986-01-01T00:00:00Z,female,$null$
Kistler Prize,Luigi Luca Cavalli-Sforza,2002-01-01T00:00:00Z,male,Awarded by the Foundation For the Future
Keith R. Porter Lecture,Tim Mitchison,2013-01-01T00:00:00Z,male,$null$
CNRS Gold medal,Gaston Ramon,1958-01-01T00:00:00Z,male,$null$
Pfizer Award in Enzyme Chemistry,Van Rensselaer Potter,1947-01-01T00:00:00Z,male,$null$
Selman A. Waksman Award in Microbiology,Carl Woese,1997-01-01T00:00:00Z,male,$null$
AAAS Fellow,Cheryl J. Briggs,2019-01-01T00:00:00Z,female,award and fellowship
CNRS bronze medal,Thomas Lecuit,2006-01-01T00:00:00Z,male,$null$
Flavelle Medal,Murray Barr,1959-01-01T00:00:00Z,male,Royal Society of Canada award
L'Oréal-UNESCO Award For Women in Science,Lúcia Mendonça Previato,2004-01-01T00:00:00Z,female,scientific award
Daniel Giraud Elliot Medal,Robert Cushman Murphy,1936-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
AAAS Fellow,Ann Richmond,2017-01-01T00:00:00Z,female,award and fellowship
ACS Award in Pure Chemistry,Ann E. McDermott,1996-01-01T00:00:00Z,female,award of the American Chemical Society
Keith R. Porter Lecture,Joseph L. Goldstein,1987-01-01T00:00:00Z,male,$null$
L'Oréal-UNESCO Award For Women in Science,Chen Hualan,2016-01-01T00:00:00Z,female,scientific award
Novozymes Prize,Bernard Henrissat,2015-01-01T00:00:00Z,male,$null$
Helmholtz Medal,Rita R. Colwell,2018-01-01T00:00:00Z,female,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
AAAS Fellow,Alice Barkan,2017-01-01T00:00:00Z,female,award and fellowship
L'Oréal-UNESCO Award For Women in Science,Pascale Cossart,1998-01-01T00:00:00Z,female,scientific award
Vannevar Bush Award,Maxine Singer,1999-01-01T00:00:00Z,female,American science award
CNRS silver medal,Olivier Voinnet,2007-01-01T00:00:00Z,male,$null$
CNRS silver medal,Laure Bally-Cuif,2017-01-01T00:00:00Z,female,$null$
Selman A. Waksman Award in Microbiology,Jeffrey I. Gordon,2013-01-01T00:00:00Z,male,$null$
Heinz Award,P. Dee Boersma,2009-01-01T00:00:00Z,female,$null$
Arthur L. Day Medal,Walter M. Elsasser,1979-01-01T00:00:00Z,male,Geological Society of America (GSA) award
Paleontological Society Medal,John West Wells,1974-01-01T00:00:00Z,male,since 1963
CNRS silver medal,Luc Montagnier,1973-01-01T00:00:00Z,male,$null$
CNRS silver medal,Angela Sirigu,2013-01-01T00:00:00Z,female,$null$
Kistler Prize,Richard Dawkins,2001-01-01T00:00:00Z,male,Awarded by the Foundation For the Future
Flavelle Medal,Anthony Pawson,1998-01-01T00:00:00Z,male,Royal Society of Canada award
Keith R. Porter Lecture,Joan A. Steitz,1992-01-01T00:00:00Z,female,$null$
CNRS silver medal,Eva Pebay-Peyroula,2005-01-01T00:00:00Z,female,$null$
Heinz Award,Gretchen Daily,2010-01-01T00:00:00Z,female,$null$
Breuer Award,Ralf Baumeister,2008-01-01T00:00:00Z,male,science award
Flavelle Medal,Charles Philippe Leblond,1961-01-01T00:00:00Z,male,Royal Society of Canada award
CNRS bronze medal,Aura Carreira Moreno,2017-01-01T00:00:00Z,female,$null$
AAAS Fellow,Dianna Padilla,2013-01-01T00:00:00Z,female,award and fellowship
Daniel Giraud Elliot Medal,Theodosius Dobzhansky,1941-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
L'Oréal-UNESCO Award For Women in Science,Philippa Marrack,2004-01-01T00:00:00Z,female,scientific award
CNRS bronze medal,Evelyne Heyer,1999-01-01T00:00:00Z,female,$null$
Kistler Prize,Edward O. Wilson,2000-01-01T00:00:00Z,male,Awarded by the Foundation For the Future
CNRS silver medal,Frédérique Viard,2017-01-01T00:00:00Z,female,$null$
Flavelle Medal,Robert Haynes,1988-01-01T00:00:00Z,male,Royal Society of Canada award
Schmiedeberg Badge,Edith Bülbring,1974-01-01T00:00:00Z,female,$null$
CNRS silver medal,Dominique Stéhelin,1986-01-01T00:00:00Z,male,$null$
Selman A. Waksman Award in Microbiology,Stanley Falkow,2003-01-01T00:00:00Z,male,$null$
Linnean Medal,Richard Owen,1888-01-01T00:00:00Z,male,award made annually to alternately a botanist or a zoologist
Flavelle Medal,Douglas Harold Copp,1972-01-01T00:00:00Z,male,Royal Society of Canada award
CNRS Gold medal,Jacques Oudin,1972-01-01T00:00:00Z,male,$null$
Selman A. Waksman Award in Microbiology,Howard Green,1978-01-01T00:00:00Z,male,$null$
Breuer Award,Ulrike Müller,2008-01-01T00:00:00Z,female,science award
CNRS Gold medal,Boris Ephrussi,1968-01-01T00:00:00Z,male,$null$
Daniel Giraud Elliot Medal,William Beebe,1918-01-01T00:00:00Z,male,award made by the U.S. National Academy of Sciences
Helmholtz Medal,Richard Hertwig,1916-01-01T00:00:00Z,male,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
Walther-Arndt Prize,Martin Cornelius Göpfert,2003-01-01T00:00:00Z,male,$null$
CNRS bronze medal,Ana Rodrigues,2013-01-01T00:00:00Z,female,$null$
Heinz Award,Sandra Steingraber,2011-01-01T00:00:00Z,female,$null$
Keith R. Porter Lecture,Christiane Nüsslein-Volhard,1991-01-01T00:00:00Z,female,$null$
Eric K. Fernströms Nordiska Pris,Eva Klein,1983-01-01T00:00:00Z,female,$null$
Helmholtz Medal,Rudolf Virchow,1898-01-01T00:00:00Z,male,"an award to scholars for excellence in the areas of natural science, technology, medicine, epistemology, humanities and social sciences"
CNRS Gold medal,Margaret Buckingham,2013-09-18T00:00:00Z,female,$null$
L'Oréal-UNESCO Award For Women in Science,Tsuneko Okazaki,2000-01-01T00:00:00Z,female,scientific award
Princess of Asturias Award for Technical and Scientific Research,Antonio García-Bellido,1984-01-01T00:00:00Z,male,$null$
Frink Medal,Georgina Mace,2012-01-01T00:00:00Z,female,medal awarded by the Zoological Society of London
Bressa Prize,Luigi Luca Cavalli-Sforza,2006-01-01T00:00:00Z,male,$null$
Ikergazte award,Amaiur Esnaola Illarreta,2017-01-01T00:00:00Z,female,Prize awarded by the Summer Basque University (UEU) to young researchers
Roger Slack Award,Kimberley Cathryn Snowden,2017-01-01T00:00:00Z,female,New Zealand science award for plant biology
Ikergazte award,Amaiur Esnaola Illarreta,2019-01-01T00:00:00Z,female,Prize awarded by the Summer Basque University (UEU) to young researchers
Mendel medal,James D. Watson,2000-01-01T00:00:00Z,male,$null$
Mendel medal,H. Robert Horvitz,2007-01-01T00:00:00Z,male,$null$
Guggenheim Fellowship,Santos Soriano,1937-01-01T00:00:00Z,male,"grant in the arts, awarded annually"
